title,image,author,publisher,discount_rate,old_price,new_price
İnce Memed Seti (4 Kitap Takım),https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/kle/1473756484034.png,Yaşar Kemal,Yapı Kredi Yayınları, %30,655,458
İnsanlığımı Yitirirken,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786258401479.jpg,Osamu Dazai,İthaki Yayınları, %50,55,27
Yaşamak,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786056587887.jpg,Yu Hua,Jaguar Kitap, %22,78,60
Numenor’un Düşüşü,https://img1-kidega.mncdn.com/UPLOAD/9786052651889.jpg,J. R. R. Tolkien,İthaki Yayınları, %30,175,122
Martin Eden,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786053322122.jpg,Jack London,İş Bankası Kültür Yayınları, %50,65,32
Kuru Kız,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750760099.jpg,Ayfer Tunç,Can Yayınları, %50,115,57
Nietzsche Ağladığında,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789755391465.jpg,Irvin D. Yalom,Ayrıntı Yayınları, %50,200,100
İyi Hissetmek,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786056950483.jpg,David Burns,Psikonet Yayınları, %50,170,85
Yüzüklerin Efendisi 3 Kitap Takım,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/kle/7894561230123.png,J. R. R. Tolkien,Metis Yayınları, %25,606,454
Nereye Gidiyoruz Baba?,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750816079.jpg,Jean Louis Fournier,Yapı Kredi Yayınları, %50,38,19
Kaplanın Sırtında,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789751044600.jpg,Zülfü Livaneli,İnkılap Kitabevi, %50,140,70
Gece Yarısı Kütüphanesi,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786051981833.jpg,Matt Haig,Domingo Yayınevi, %35,140,91
Anna Karenina,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786053604099.jpg,Lev Nikolayeviç Tolstoy,İş Bankası Kültür Yayınları, %50,130,65
Bir Kadın,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750760594.jpg,Annie Ernaux,Can Yayınları, %50,73,36
Asla Kimseyi Öldürmedi Benim Babam,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750815553.jpg,Jean Louis Fournier,Yapı Kredi Yayınları, %50,45,22
Narnia Günlükleri Tek Cilt Özel Baskı,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786254168970.jpg,C. S. Lewis,Doğan Çocuk, %15,579,492
İnsanın Anlam Arayışı,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786054054206.jpg,Viktor Emil Frankl,Okuyan Us Yayın, %50,118,59
Pal Sokağı Çocukları (Ciltsiz),https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750815546.jpg,Ferenc Molnar,Yapı Kredi Yayınları, %50,40,20
Düşün ve Zengin Ol,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789754058833.jpg,Napoleon Hill,Altın Kitaplar, %50,110,55
Toprak Ana,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789754371543.jpg,Cengiz Aytmatov,Ötüken Neşriyat, %35,70,45
Çavdar Tarlasında Çocuklar,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789753636360.jpg,Jerome David Salinger,Yapı Kredi Yayınları, %50,85,42
Bekleyecek Vaktim Kalmadı Artık,https://img1-kidega.mncdn.com/UPLOAD/bekleyecek-vaktim-kalmadi-yky.jpg,Jean Louis Fournier,Yapı Kredi Yayınları, %50,40,20
Seninle Başlamadı,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786059692472.jpg,Mark Wolynn,Sola Unitas, %50,145,72
Masumiyet Müzesi,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750826146.jpg,Orhan Pamuk,Yapı Kredi Yayınları, %30,250,175
Yaşadım Demek İçin Ne  Yapmalı?,https://img1-kidega.mncdn.com/UPLOAD/yasadimdemekicin-tuhaf.jpg,Büşra Sanay,Tuhaf, %50,115,57
Tek Yalnız Ben Değilim,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750848834.jpg,Jean Louis Fournier,Yapı Kredi Yayınları, %50,60,30
İnce Memed - 1,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750807145.jpg,Yaşar Kemal,Yapı Kredi Yayınları, %50,190,95
Ressamın İsyanı ,https://img1-kidega.mncdn.com/UPLOAD/9786051859712.jpg,Gündüz Vassaf,Everest Yayınları, %40,235,141
Pandora’nın Kutusu,https://img1-kidega.mncdn.com/UPLOAD/kitap-gorselleri/pandoraninkutusu-ithakiyayinlari.jpg,Osamu Dazai,İthaki Yayınları, %50,40,20
Boş Dolaplar,https://img1-kidega.mncdn.com/UPLOAD/kitap-gorselleri/9789750758386.jpg,Annie Ernaux,Can Yayınları, %50,90,45
Beyaz Gemi,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789754370430.jpg,Cengiz Aytmatov,Ötüken Neşriyat, %35,70,45
Karamazov Kardeşler,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789944880985.jpg,Fyodor Mihayloviç Dostoyevski,İş Bankası Kültür Yayınları, %50,110,55
Annie Ernaux Seti (6 Kitap Takım),https://img1-kidega.mncdn.com/UPLOAD/AnnieErnauxSeti.png,Annie Ernaux,Can Yayınları, %25,392,294
Suç ve Ceza,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789754589023.jpg,Fyodor Mihayloviç Dostoyevski,İş Bankası Kültür Yayınları, %50,80,40
Dul,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750824760.jpg,Jean Louis Fournier,Yapı Kredi Yayınları, %50,50,25
Sefiller (2 Cilt Takım),https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786053324744.jpg,Victor Hugo,İş Bankası Kültür Yayınları, %50,200,100
Veronika Ölmek İstiyor,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750730153.jpg,Paulo Coelho,Can Yayınları, %50,130,65
Semerkant,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789750810039.jpg,Amin Maalouf,Yapı Kredi Yayınları, %50,65,32
Yarın Yok,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9786051859859.jpg,Ayşe Kulin,Everest Yayınları, %40,85,51
Swann’ların Tarafı,https://img1-kidega.mncdn.com/mnresize/200/307/UPLOAD/urunler/9789753639101.jpg,Marcel Proust,Yapı Kredi Yayınları, %50,100,50
